items_NU_ICO_Quantity,oportunidades_CUE_AccountId,Porcentaje_Ocupacion,plazo_contrato,FC_OPO_FechaCreacion,estacionalidad,Fidelizacion,VC_OPO_Resultado,Volumen_Contrato,Descuento,Sucursal,volumen_alto,items_VC_ICO_Categoria_1,items_SK_PRD_Producto,precio_entrenamiento,precio_entrenamiento_final
10,4168,0.0,1,2022-07-04,0,3.810740708566655,1,0.0,60,5.0,0,1,434,1000.0,100.0
2,9969,82.35,1,2022-07-04,0,2.436052919644854,1,0.0,3,1.0,0,1,820,2380.0,1190.0
1,2160,68.97,1,2022-07-05,0,1.6094379124341005,1,0.0,5,2.0,0,2,568,3895.0,3895.0
12,7579,65.0,1,2022-07-05,0,4.725186142627311,1,0.0,28,3.0,0,1,594,14244.0,1187.0
2,1920,71.01,1,2022-07-05,0,1.770758340035135,1,0.0,10,3.0,0,1,595,1360.0,680.0
1,12310,25.0,1,2022-07-07,0,0.6931471805599453,1,0.0,20,3.0,0,1,483,3700.0,3700.0
1,17085,65.0,1,2022-07-07,0,2.033231729642506,0,2770.0,9,3.0,0,1,594,2770.0,2770.0
1,1910,14.29,1,2022-07-06,0,2.4883992269999107,1,0.0,0,2.0,0,1,775,2360.0,2360.0
1,4067,55.56,1,2022-07-08,0,1.5297220581415851,0,0.0,14,2.0,0,1,530,2925.0,2925.0
1,6660,37.5,1,2022-07-05,0,2.365051794911045,1,0.0,0,1.0,0,2,787,2067.0,2067.0
1,29514,33.33,1,2022-07-08,0,0.0,0,4000.0,0,2.0,0,2,795,4000.0,4000.0
2,29512,75.0,1,2022-07-08,0,1.0986122886681098,1,0.0,9,2.0,0,2,803,2300.0,1150.0
1,10462,100.0,1,2022-07-04,0,0.6931471805599453,1,0.0,0,1.0,0,1,435,310.0,310.0
1,6569,72.41,1,2022-07-07,0,1.2780708128768383,1,0.0,5,2.0,0,2,568,1300.0,1300.0
1,7461,71.01,1,2022-07-11,0,1.3228662189232576,0,2262.0,0,3.0,0,1,595,2262.0,2262.0
2,7460,79.66,1,2022-07-11,0,3.562757348950204,1,0.0,10,3.0,0,2,844,9200.0,4600.0
1,11003,55.56,1,2022-07-12,0,2.046742304883596,1,0.0,0,2.0,0,1,530,2100.0,2100.0
1,7736,66.67,1,2022-07-07,0,0.2030044099704045,1,0.0,0,3.0,0,2,108988,3100.0,3100.0
4,4168,73.17,1,2022-07-11,0,3.810740708566655,1,0.0,44,9.0,0,2,545,13200.0,3300.0
4,4168,,1,2022-07-11,0,3.810740708566655,1,0.0,19,6.0,0,2,585,10000.0,2500.0
1,2345,69.57,1,2022-07-11,0,1.2070784343255752,1,0.0,0,3.0,0,1,595,1050.0,1050.0
2,2126,63.16,1,2022-07-04,0,2.3978952727983707,1,0.0,0,3.0,0,1,628,4560.0,2280.0
1,21967,0.0,1,2022-07-13,0,0.6931471805599453,1,0.0,0,4.0,0,1,856,2400.0,2400.0
1,5837,65.75,1,2022-07-14,0,0.0,0,1920.0,0,3.0,0,1,595,1920.0,1920.0
1,22847,0.0,1,2022-07-15,0,0.402359478108525,1,0.0,0,5.0,0,1,434,385.0,385.0
1,6121,50.0,1,2022-07-15,0,3.469784376632241,1,0.0,39,2.0,0,1,540,392.0,392.0
1,5617,62.16,1,2022-07-15,0,2.5713524440127005,1,0.0,2,3.0,0,1,595,490.0,490.0
2,7338,40.0,1,2022-07-15,0,1.5474572577726913,1,0.0,12,2.0,0,2,570,14000.0,7000.0
1,25080,71.43,1,2022-07-07,0,1.0986122886681098,1,0.0,0,3.0,0,2,579,1000.0,1000.0
1,7268,62.16,1,2022-07-11,0,5.075737939890351,1,0.0,0,3.0,0,1,595,1740.0,1740.0
3,5109,80.39,1,2022-07-18,0,0.0,0,5910.0,5,1.0,0,1,820,5910.0,1970.0
3,7268,80.39,1,2022-07-11,0,5.075737939890351,1,0.0,0,1.0,0,1,820,4770.0,1590.0
1,7325,82.76,1,2022-07-18,0,1.892041435928836,1,0.0,0,3.0,0,2,844,1700.0,1700.0
3,7051,82.76,1,2022-07-13,0,1.1729147536877336,1,0.0,10,3.0,0,2,844,13770.0,4590.0
1,1910,100.0,1,2022-07-18,0,2.4883992269999107,1,0.0,17,1.0,0,1,435,2515.0,2515.0
6,4168,68.97,1,2022-07-11,0,3.810740708566655,1,0.0,27,2.0,0,2,568,18000.0,3000.0
2,7659,64.29,1,2022-07-19,0,0.8047189562170501,1,0.0,3,2.0,0,1,629,4000.0,2000.0
