items_SK_PRD_Producto,producto_VC_PRD_Categoria1,producto_VC_PRD_Categoria2,producto_VC_PRD_Categoria3
135,Grupos electrógenos  hasta 220Kva,175 a 180 KVA,QT
435,Grupos electrógenos  hasta 220Kva,97 a 120 KVA,Q
537,Grupos electrógenos  hasta 220Kva,Hasta 35KVA,Q
578,Tierra light,Miniexcavadoras,"Miniexcavadora 3,5 ton"
803,Tierra light,Miniexcavadoras,Miniexcavadora 5 ton
844,Tierra light,Cargadores frontales c/retroexcavador,Cargador Frontal c/retroexcavador 84HP
914,Grupos electrógenos  hasta 220Kva,175 a 180 KVA,Q
115796,Grupos electrógenos  hasta 220Kva,175 a 180 KVA,Q
120940,Grupos electrógenos  hasta 220Kva,63 a 70 KVA,<No especificado>
148,Grupos electrógenos >220 hasta 563Kva,388 a 400 KVA,QT
667,Tierra light,Cargadores frontales,Cargadora Frontal 2 m3.
701,Tierra light,Cargadores frontales c/retroexcavador,Cargador frontal c/retroexcavador 85 HP  4X4
782,Grupos electrógenos  hasta 220Kva,200 a 220 KVA,QP
799,Grupos electrógenos >220 hasta 563Kva,330 a 350 KVA,QP
109316,Grupos electrógenos  hasta 220Kva,Hasta 35KVA,<No especificado>
112107,Tierra light,Cargadores frontales c/retroexcavador,Cargador Frontal c/retroexcavador 84HP
115279,Tierra light,Tractores,Tractor de 135 /170Hp
115798,Tierra light,Tractores,Tractor de 135 /170Hp
120948,Grupos electrógenos  hasta 220Kva,<No especificado>,<No especificado>
122082,Grupos electrógenos  hasta 220Kva,175 a 180 KVA,R
473,Grupos electrógenos  hasta 220Kva,97 a 120 KVA,QT
792,Grupos electrógenos  hasta 220Kva,175 a 180 KVA,QT
105411,Tierra light,Minicargadoras,Minicargadora 49 HP
108988,Tierra light,Compactadoras,Compactador Doble Liso hasta 10 ton
112582,Grupos electrógenos >220 hasta 563Kva,250 a 275 KVA,Q
120938,Grupos electrógenos  hasta 220Kva,<No especificado>,<No especificado>
386,Grupos electrógenos  hasta 220Kva,175 a 180 KVA,CT
436,Grupos electrógenos >220 hasta 563Kva,388 a 400 KVA,Q
486,Grupos electrógenos >220 hasta 563Kva,500 a 563 KVA,Q
522,Tierra light,Excavadoras,Excavadora 13 ton
579,Tierra light,Miniexcavadoras,"Miniexcavadora 3,5 ton"
629,Grupos electrógenos >220 hasta 563Kva,330 a 350 KVA,R
761,Grupos electrógenos >220 hasta 563Kva,388 a 400 KVA,QT
779,Grupos electrógenos >220 hasta 563Kva,330 a 350 KVA,CT
915,Grupos electrógenos  hasta 220Kva,63 a 70 KVA,Q
954,Grupos electrógenos >220 hasta 563Kva,330 a 350 KVA,Q
390,Grupos electrógenos  hasta 220Kva,97 a 120 KVA,Q
525,Grupos electrógenos >220 hasta 563Kva,330 a 350 KVA,Q
539,Grupos electrógenos  hasta 220Kva,97 a 120 KVA,Q
540,Grupos electrógenos  hasta 220Kva,63 a 70 KVA,Q
640,Grupos electrógenos >220 hasta 563Kva,388 a 400 KVA,QT
708,Grupos electrógenos  hasta 220Kva,175 a 180 KVA,QT
725,Grupos electrógenos  hasta 220Kva,200 a 220 KVA,QT
775,Grupos electrógenos  hasta 220Kva,200 a 220 KVA,Q
876,Grupos electrógenos >220 hasta 563Kva,500 a 563 KVA,R
944,Grupos electrógenos  hasta 220Kva,175 a 180 KVA,Q
112784,Tierra light,Miniexcavadoras,Miniexcavadora 5 ton
120939,Grupos electrógenos  hasta 220Kva,<No especificado>,<No especificado>
120954,Grupos electrógenos  hasta 220Kva,63 a 70 KVA,<No especificado>
121389,Tierra light,Minicargadoras,minicargadora 56 HP
121789,Tierra light,Cargadores frontales c/retroexcavador,Cargador Frontal c/retroexcavador 84HP
153,Grupos electrógenos  hasta 220Kva,97 a 120 KVA,Q
530,Grupos electrógenos >220 hasta 563Kva,500 a 563 KVA,Q
594,Grupos electrógenos  hasta 220Kva,97 a 120 KVA,R
628,Grupos electrógenos  hasta 220Kva,200 a 220 KVA,R
787,Tierra light,Miniexcavadoras,"Miniexcavdora 8,2 Ton."
855,Grupos electrógenos >220 hasta 563Kva,500 a 563 KVA,Q
105375,Grupos electrógenos  hasta 220Kva,200 a 220 KVA,R
118977,Tierra light,Compactadoras,Compactador Doble Liso hasta 10 ton
